actors,country,description,director,duration,gender,language,original_title,public,rating,title,year
"Tim Robbins,Morgan Freeman,Bob Gunton",États-Unis,"Le banquier Andy Dufresne est arrêté pour avoir tué sa femme et son amant. Après une dure adaptation, il tente d'améliorer les conditions de la prison et de redonner de l'espoir à ses compagnons.",Frank Darabont,142,Drame,,The Shawshank Redemption,Tous publics avec avertissement,"9,3",Les Évadés,1994
"Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele",Brésil,"Dans les bidonvilles de Rio, les chemins de deux enfants divergent à mesure que l'un tente de devenir photographe et l'autre un baron de la drogue.",Fernando Meirelles,130,"Policier,Drame",,Cidade de Deus,16,"8,6",La Cité de Dieu,2002
"Tom Hanks,Matt Damon,Tom Sizemore",États-Unis,"À la suite du débarquement en Normandie, un groupe de soldats américains passe derrière les lignes ennemies pour récupérer un parachutiste dont les frères ont été tués au combat.",Steven Spielberg,169,"Drame,Guerre","Anglais,Français,Allemand,Tchèque",Saving Private Ryan,Tous publics avec avertissement,"8,6",Il faut sauver le soldat Ryan,1998
"Jodie Foster,Anthony Hopkins,Scott Glenn",États-Unis,"Une jeune élève officier du FBI doit obtenir l'aide d'un tueur cannibale et manipulateur incarcéré afin d'aider à attraper un autre tueur en série, un fou qui retire la peau de ses victimes.",Jonathan Demme,118,"Policier,Drame,Thriller","Anglais,Latin",The Silence of the Lambs,16,"8,6",Le Silence des agneaux,1991
"Toshirô Mifune,Takashi Shimura,Keiko Tsushima",Japon,Un village pauvre qui est la cible des attaques de bandits recrute sept samouraïs sans maître pour les défendre.,Akira Kurosawa,207,"Action,Drame",,Shichinin no samurai,Tous publics,"8,6",Les 7 Samouraïs,1954
"James Stewart,Donna Reed,Lionel Barrymore",États-Unis,Un ange est envoyé sur Terre pour aider un homme d'affaires désespérément frustré et lui montrer à quoi la vie aurait ressemblé s'il n'avait jamais existé.,Frank Capra,130,"Drame,Famille,Fantastique","Anglais,Français",It's a Wonderful Life,Tous publics,"8,6",La vie est belle,1946
"Matthew McConaughey,Anne Hathaway,Jessica Chastain",États-Unis,"Dans un monde post-apocalyptique et en famine, une équipe d'explorateurs cherche une nouvelle planète habitable pour l'espèce humaine.",Christopher Nolan,169,"Aventure,Drame,Science-fiction",,,Tous publics,"8,7",Interstellar,2014
"Morgan Freeman,Brad Pitt,Kevin Spacey",États-Unis,"Deux détectives, une recrue et un ancien combattant, chassent un tueur en série qui utilise les sept péchés capitaux comme motif pour tuer.",David Fincher,127,"Policier,Drame,Mystère",,Se7en,12,"8,6",Seven,1995
"Jack Nicholson,Louise Fletcher,Michael Berryman",États-Unis,Un criminel plaide la folie après s'être à nouveau attiré des ennuis et une fois interné se rebelle contre l'infirmière oppressante et rallie les patients effrayés.,Milos Forman,133,Drame,,One Flew Over the Cuckoo's Nest,Tous publics avec avertissement,"8,7",Vol au-dessus d'un nid de coucou,1975
"Robert De Niro,Ray Liotta,Joe Pesci",États-Unis,"L'histoire d'Henry Hill et de sa vie dans la mafia, couvrant ses relations avec son épouse Karen Hill et ses partenaires de la mafia Jimmy Conway et Tommy DeVito dans le syndicat du crime italo-américain.",Martin Scorsese,145,"Biographique,Policier,Drame","Anglais,Italien,Hébreu,Yiddish",Goodfellas,16,"8,7",Les affranchis,1990
