actors,country,description,director,duration,end_year,episode,gender,language,original_title,public,rating,seasons,start_year,title,years
"Bryan Cranston,Aaron Paul,Anna Gunn",États-Unis,Un professeur de chimie de lycée chez qui on a diagnostiqué un cancer du poumon inopérable se tourne vers la fabrication et la vente de méthamphétamine pour assurer l'avenir de sa famille.,Vince Gilligan,45,2013,62,"Policier,Drame,Thriller","Anglais,Espagnol",,Tous publics,"9,5",5,2008,Breaking Bad,2008–2013
"Steve Carell,Jenna Fischer,John Krasinski",États-Unis,"Le quotidien d'un groupe d'employés de bureau ordinaire, pour qui une journée de travail typique implique des conflits égocentriques, des comportements inappropriés et de l'ennui total.",Greg Daniels,22,2013,188,Comédie,"Anglais,Espagnol,Allemand,Français",,13,"9,0",9,2005,The Office,2005–2013
"Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.",États-Unis,Le Chevalier Noir combat le crime à Gotham City avec l'aide occasionnelle de Robin et de Batgirl.,Bob Kane,23,1995,85,"Animation,Action,Aventure",,Batman: The Animated Series,Tous publics,"9,0",4,1992,Batman,1992–1995
"Jessie James Grelle,Bryce Papenbrook,Trina Nishimura",Japon,"Après la destruction de sa ville natale et la mort de sa mère, le jeune Eren Yeager promet de purger la terre des géants humanoïdes appelés Titans qui menacent l'humanité toute entière.",Jessie James Grelle,24,2023,98,"Animation,Action,Aventure","Japonais,Anglais",Shingeki no Kyojin,16,"9,1",4,2013,L'Attaque des Titans,2013–2023
"Peter Coyote,Huy Duc,James Willbanks",États-Unis,Une histoire complète de l'implication des États-Unis dans le conflit armé qui divise amèrement l'Asie du Sud-Est.,Peter Coyote,99,2017,10,"Documentaire,Historique,Guerre",,,TV-MA,"9,1",1,2017,The Vietnam War,2017
"Rod Serling,Robert McCord,Jay Overholts",États-Unis,"Des gens ordinaires se retrouvent dans des situations extraordinaires et stupéfiantes, qu'ils tentent chacun de résoudre de manière remarquable.",Rod Serling,50,1964,156,"Drame,Fantastique,Horreur",,The Twilight Zone,Tous publics,"9,1",5,1959,La quatrième dimension,1959–1964
"Benedict Cumberbatch,Martin Freeman,Una Stubbs",Royaume-Uni,Une version moderne du célèbre détective et de son partenaire médecin résolvant le crime dans la ville de Londres au XXIème siècle.,Mark Gatiss,90,2017,15,"Policier,Drame,Mystère",,,Tous publics,"9,1",4,2010,Sherlock,2010–2017
"Michael Jordan,Phil Jackson,Scottie Pippen",États-Unis,"La montée en puissance de l'équipe des Chicago Bulls menée par Michael Jordan dans les années 1990, l'une des équipes les plus remarquables dans toute l'histoire du sport.",Michael Jordan,49,2020,10,"Documentaire,Biographique,Historique",,,7,"9,1",1,2020,The Last Dance,2020
"Oprah Winfrey,David Attenborough,Doug Allan",Royaume-Uni,L'équipe de la BBC de David Attenborough explique et montre la vie sauvage de toute la planète.,Oprah Winfrey,43,2009,11,Documentaire,,Life,Tous publics,"9,1",1,2009,"Life, l'aventure de la vie",2009
"Chris Parnell,Spencer Grammer,Sarah Chalke",États-Unis,Une série animée suivant les exploits d'un super scientifique et de son petit-fils pas très futé.,Dan Harmon,23,pas fini,74,"Animation,Aventure,Comédie",,Rick and Morty,12,"9,1",10,2013,Rick et Morty,2013– 
